Buty	90972
Fort Ross	148500
Lafond	38400
Eberle	60480
La Follette	61332
Left Coast Cellars	57744
Wedell Cellars	83250
Bernardus	38840
Cuvaison	19700
Martin Ray	35220
Lynmar	58245
Zepaltas	35224
Kuleto Estate	58680
Sanguis	88740
Hearst Ranch	89300
J Vineyards & Winery	33516
Failla	73660
Rusack	72540
Testarossa	100224
Byron	40288
Merry Edwards	177780
Trig Point	44242
Center of Effort	42780
Daniel Gehrs	28392
Ponzi	148869
Thomas George	50760
Grgich Hills	181629
Occasio	28175
Eric Kent	75210
Parducci	19175
Chamisal Vineyards	36360
McGrail	39690
Lawer	53456
