Center of Effort	42780
Ponzi	148869
Hearst Ranch	89300
Failla	73660
Daniel Gehrs	28392
Lafond	38400
Byron	40288
Trig Point	44242
La Follette	61332
Kuleto Estate	58680
Parducci	19175
Cuvaison	19700
Chamisal Vineyards	36360
Lynmar	58245
Rusack	72540
Left Coast Cellars	57744
Buty	90972
Bernardus	38840
Eric Kent	75210
Eberle	60480
Martin Ray	35220
Zepaltas	35224
Wedell Cellars	83250
Lawer	53456
Testarossa	100224
Occasio	28175
McGrail	39690
Sanguis	88740
Grgich Hills	181629
Merry Edwards	177780
Fort Ross	148500
Thomas George	50760
J Vineyards & Winery	33516
