Hawks View	1909
De Loach	848
Macauley	1493
Schramsberg	3797
Center of Effort	713
Passaggio	2370
Foxen 7200	1864
Ehret	2790
Ponzi	7050
Hearst Ranch	1786
Easton	2397
DeLille	2002
The Naked Grape	2510
Ryan Cochrane	1125
Communication Block	1839
Failla	1270
Ferguson Crest	2735
Santa Cruz Mountain Vineyard	2113
Fox Run	1562
Coeur de Terre	3062
MacMurray Ranch	1839
Kaena	2979
Ott & Murphy	2483
Trinchero	1922
Harney Lane	1761
Daniel Gehrs	1183
Mulvane Wine Co.	2865
Charles Krug	2716
Grieve	1541
Plumb Cellars	1651
Raymond	689
Lafond	1200
Byron	1259
Prospect 772	1091
Korbin Kameron	1930
Double Canyon	1858
Force Majeure	2482
Steele	5
Martinez & Martinez	2321
Peachy Canyon	3564
Winderlea	2731
Galerie	1058
Waters	964
Stony Hill	1972
Trig Point	2011
La Follette	1614
MCV	1616
Lone Madrone	2200
Kuleto Estate	1304
Saviah	4675
EOS	2363
Patricia Green Cellars	9520
Domaine Serene	7118
Monticello Vineyards	1884
Two Mountain	1363
Parducci	1475
Franciscan	1663
Cuvaison	2129
Chacewater	1669
Beaucanon	1233
Oso Libre	3204
Trisaetum	2785
Heron Hill	2190
Entropy Cellars	1943
San Simeon	1326
Chamisal Vineyards	4199
Efeste	815
Brandlin	1419
Lynmar	1059
Rusack	1209
Rock Wall	3238
MacPhail	3691
Left Coast Cellars	2406
Angeline	2744
Margerum	2886
Dr. Konstantin Frank	2455
Buty	2166
Provenance Vineyards	1291
Pondera	958
Napa Cellars	1346
Michael Mondavi Family Estate	3181
Panther Creek	2598
Les Voleurs	2337
Eleven Eleven	2857
Laetitia	1945
Pellet Estate	1608
Paraduxx	1134
Bernardus	2870
Anam Cara	1127
Robert Biale	2424
Nicora	2084
Jack Creek	1180
B Cellars	1032
Eric Kent	1635
Eberle	2520
Roar	1744
The Calling	993
Ousterhout	3800
Martin Ray	1174
Zepaltas	952
Wedell Cellars	1665
Lawer	2056
Vie Winery	2034
Kevin White	935
Jason-Stephens	946
Smith-Madrone	1410
Lucas & Lewellen	3146
Comartin	3448
Syncline	1541
Spann Vineyards	622
Silvan Ridge	2621
Millbrook	1775
Highway 12	3706
Le Vigne	1770
Tobin James	2843
Hunt Cellars	2646
Paix Sur Terre	1268
Galante	5
King Estate	2525
Testarossa	6473
The Bridge	1400
Occasio	1127
Michael David	2534
Gary Farrell	2918
McGrail	1323
Medlock Ames	1739
Epoch Estate Wines	2247
Saintsbury	1035
Sanguis	1479
Andis	1753
Sequoia Grove	2270
Merry Cellars	2368
Sol Stone	3667
Blue Farm	1203
Sparkman	765
Siduri	1478
Hall	1852
Carhartt Vineyard	1810
Grgich Hills	3442
Merry Edwards	2963
Aperture	3169
Hawk Watch Winery	2121
Winc	1502
Fort Ross	3375
Ordaz Family Wines	2056
Cameron Hughes	1053
Elk Cove	1774
Dry Creek Vineyard	4627
Glenora	2038
Black Kite	2751
League of Rogues	975
Folin Cellars	1691
Clif Family	666
Thomas George	1269
DeLorimier	1762
Foursight	4419
Kobler	1302
J Vineyards & Winery	3403
Renwood	3259
Cherry Pie	1343
Navarro	465
Diamond Creek	1036
Hestan	1462
Brecon Estate	1731
Beauregard	3511
Frank Family	937
Rideau	939
Kelley Fox	697
Sbragia	1965
Red Car	2209
Laird	1865
